Model,Reference_number,Collection,Color_Case,Color_Strap,Description_Gender,Case_Diameter_Case_material,Material_Strap,Description_Movement,caliber_Time_display/function,Type_Clasp,Water_Resistant,Dial_description,Link_product
Auto,H70555533,Khaki Field,Black,Brown,Men,Stainless steel,Cow leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70555533-khaki-field-auto.html
Auto,H70455553,Khaki Field,Silver,Brown,Men,Stainless steel,Cow leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70455553-khaki-field-auto.html
Auto,H42535730,Jazzmaster,Black,Black,Men,Stainless steel,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42535730-jazzmaster-auto.html
Auto,H42535640,Jazzmaster,Blue,Blue,Men,Stainless steel,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42535640-jazzmaster-auto.html
Auto,H42535550,Jazzmaster,White,Brown,Men,Stainless steel,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42535550-jazzmaster-auto.html
X-Wind Auto Chrono,H77696793,Khaki Aviation,Black,Black,Men,Stainless steel,Calf leather,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77696793-khaki-aviation-x-wind-auto-chrono.html
Pioneer Small Second Auto,H78465553,Khaki Navy,White,Brown,Men,Stainless steel,Cow leather,,50-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h78465553-khaki-navy-pioneer-small-second-auto.html
BeLOWZERO 1000m Auto,H78585333,Khaki Navy,Black,Black,Men,Stainless steel,,,42-hour power reserve,Sapphire,100 bar (1000m)/1450 psi (3280.8ft),,https://www.hamiltonwatch.com/en-int/h78585333-khaki-navy-belowzero-1000m-auto.html
Pioneer Auto,H77715553,Khaki Navy,Silver,Brown,Men,Stainless steel,Cow leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77715553-khaki-navy-pioneer-auto.html
Scuba Auto,H82335131,Khaki Navy,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82335131-khaki-navy-scuba-auto.html
Pioneer Auto Chrono,H77706553,Khaki Navy,Silver,Brown,Men,Stainless steel,Cow leather,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77706553-khaki-navy-pioneer-auto-chrono-auto-chrono.html
Scuba Auto,H82335331,Khaki Navy,Black,Black,,Stainless steel,Rubber,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82335331-khaki-scuba.html
X-Wind Auto Chrono,H77616133,Khaki Aviation,Black,,Men,Stainless steel,Stainless steel,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77616133-khaki-aviation-x-wind-auto-chrono.html
X-Wind Auto Chrono,H77616533,Khaki Aviation,Black,Brown,Men,Stainless steel,Cow leather,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77616533-khaki-aviation-x-wind-auto-chrono.html
Pilot Pioneer Chrono Quartz,H76512733,Khaki Aviation,Black,Black,Men,Stainless steel,Cow leather,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h76512733-khaki-aviation-pilot-pioneer-chrono-quartz.html
Auto Chrono,H32596181,Jazzmaster,Grey,,Men,Stainless steel,Stainless steel,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32596181-jazzmaster-auto-chrono.html
Intra-Matic Auto,H38755181,American Classic,Grey,,,Stainless steel,Stainless steel,,42-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38755181-intra-matic.html
Viewmatic Auto,H32715151,Jazzmaster,Silver,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32715151-jazzmaster-viewmatic-auto.html
Intra-Matic Auto,H38755131,American Classic,Black,,Men,Stainless steel,Stainless steel,,50-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38755131-american-classic-intra-matic-auto.html
Small Second Auto,H38655515,Jazzmaster,White,Brown,Men,Stainless steel,Calf leather,,50-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38655515-jazzmaster-small-second-auto.html
Thinline Auto,H38525512,Jazzmaster,White,Brown,,Stainless steel,Calf leather,,42-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38525512-jazzmaster.html
RailRoad Skeleton Auto,H40655151,American Classic,Silver,,Men,Stainless steel,Stainless steel,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h40655151-american-classic-railroad-skeleton-auto.html
Open Heart Auto,H32565135,Jazzmaster,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32565135-jazzmaster-auto-chrono.html
Pilot Day-Date - Air Zermatt Auto,H64625131,Khaki Aviation,Black,,Men,Stainless steel,Stainless steel,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h64625131-air-zermatt-auto.html
King Auto,H64455133,Khaki Field,Black,,Men,Stainless steel,Stainless steel,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h64455133-khaki-field-king-auto.html
Quartz,H68551833,Khaki Field,Black,Green,Men,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h68551833-khaki-field-quartz.html
King Auto,H64455533,Khaki Field,Black,Brown,Men,Stainless steel,Cow leather,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h64455533-khaki-field-kingauto.html
Quartz,H68401735,Khaki Field,Black,Black,Men,Stainless steel,,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h68401735-khaki-field-quartz.html
King Quartz,H64451533,Khaki Field,Black,Brown,Men,Stainless steel,Cow leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h64451533-khaki-field-king-quartz.html
King Auto,H64455523,Khaki Field,Beige,Brown,Men,Stainless steel,Cow leather,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h64455523-khaki-field-king-auto.html
Quartz,H68551933,Khaki Field,Black,,Men,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h68551933-khaki-field-quartz.html
Quartz,H68551733,Khaki Field,Black,Black,Men,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h68551733-khaki-field-quartz.html
Auto,H70625533,Khaki Field,Black,Brown,Men,Stainless steel,Cow leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70625533-khaki-field-auto.html
Pilot Pioneer Chrono Quartz,H76512133,Khaki Aviation,Black,,Men,Stainless steel,Stainless steel,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h76512133-khaki-aviation-pilot-pioneer-chrono-quartz.html
Pilot Day-Date - Air Zermatt Auto,H64625731,Khaki Aviation,Black,Black,Men,Stainless steel,Cow leather,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h64625731-air-zermatt-auto.html
Auto Chrono,H71626735,Khaki Field,Black,Black,Men,Stainless steel,,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h71626735-khaki-field-auto-chrono.html
Frogman Titanium Auto,H77805335,Khaki Navy,Black,Black,Men,Titanium,Rubber,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,100 bar (1000m)/1450 psi (3280.8ft),,https://www.hamiltonwatch.com/en-int/h77805335-khaki-navy-frogman-titanium-auto.html
Frogman Auto,H77725335,Khaki Navy,Black,Black,Men,Stainless steel,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,30 bar (300m)/435 psi (934.2ft),,https://www.hamiltonwatch.com/en-int/h77725335-khaki-navy-frogman-auto.html
Frogman Auto,H77605335,Khaki Navy,Black,Black,Men,Stainless steel,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,30 bar (300m)/435 psi (934.2ft),,https://www.hamiltonwatch.com/en-int/h77605335-khaki-navy-frogman-auto.html
Frogman Titanium Auto,H77805380,Khaki Navy,Grey,Black,Men,Titanium,Rubber,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,100 bar (1000m)/1450 psi (3280.8ft),,https://www.hamiltonwatch.com/en-int/h77805380-khaki-navy-frogman-titanium-auto.html
Gent Quartz,H32451751,Jazzmaster,Silver,Black,Men,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32451751-jazzmaster-gent-quartz.html
Frogman Auto,H77705345,Khaki Navy,Blue,Blue,Men,Stainless steel,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,30 bar (300m)/435 psi (934.2ft),,https://www.hamiltonwatch.com/en-int/h77705345-khaki-navy-frogman-auto.html
Frogman Auto,H77605135,Khaki Navy,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,30 bar (300m)/435 psi (934.2ft),,https://www.hamiltonwatch.com/en-int/h77605135-khaki-navy-frogman-auto.html
Takeoff Auto Chrono,H76786733,Khaki Aviation,Black,Black,Men,Stainless steel,Calf leather,"The H-31 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h76786733-khaki-aviation-takeoff-auto-chrono.html
Frogman Auto,H77705145,Khaki Navy,Blue,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,30 bar (300m)/435 psi (934.2ft),,https://www.hamiltonwatch.com/en-int/h77705145-khaki-navy-frogman-auto.html
Frogman Auto,H77725135,Khaki Navy,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,30 bar (300m)/435 psi (934.2ft),,https://www.hamiltonwatch.com/en-int/h77725135-khaki-navy-frogman-auto.html
Chrono Quartz,H32612135,Jazzmaster,Black,,Men,Stainless steel,Stainless steel,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32612135-jazzmaster-chrono-quartz.html
X-Wind GMT Chrono Quartz,H77912135,Khaki Aviation,Black,,Men,Stainless steel,Stainless steel,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77912135-khaki-aviation-x-wind-gmt-chrono-quartz.html
Open Heart Auto,H32565185,Jazzmaster,Grey,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32565185-jazzmaster-auto-chrono.html
X-Wind GMT Chrono Quartz,H77912335,Khaki Aviation,Black,Black,Men,Stainless steel,,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77912335-khaki-aviation-x-wind-gmt-chrono-quartz.html
X-Wind GMT Chrono Quartz,H77912535,Khaki Aviation,Black,Brown,Men,Stainless steel,Cow leather,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77912535-khaki-aviation-x-wind-gmt-chrono-quartz.html
Quartz,H68201963,Khaki Field,Green,Green,Men,Stainless steel,Canvas,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h68201963-khaki-field-quartz.html
Auto,H70305143,Khaki Field,Blue,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70305143-khaki-field-auto.html
Auto,H70605163,Khaki Field,Green,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70605163-khaki-field-auto.html
Gent Quartz,H32451581,Jazzmaster,Grey,Brown,Men,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32451581-jazzmaster-gent-quartz.html
Gent Quartz,H32451151,Jazzmaster,Silver,,Men,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32451151-jazzmaster-gent-quartz.html
Gent Quartz,H32451641,Jazzmaster,Blue,Blue,Men,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32451641-jazzmaster-gent-quartz.html
Open Heart Auto,H32705151,Jazzmaster,Silver,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32705151-jazzmaster-open-heart-auto.html
Open Heart Auto,H32705131,Jazzmaster,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32705131-jazzmaster-open-heart-auto.html
Spirit of Liberty Auto,H42415541,American Classic,Blue,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42415541-american-classic-spirit-of-liberty-auto.html
Pilot Day Date Auto,H64715145,Khaki Aviation,Blue,,Men,Stainless steel,Stainless steel,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,20 bar (200m)/290 psi (656.1ft),,https://www.hamiltonwatch.com/en-int/h64715145-khaki-aviation-pilot-day-date-auto.html
X-Wind Auto Chrono,H77736733,Khaki Aviation,Black,Black,Men,Stainless steel,Cow leather,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77736733-khaki-aviation-x-wind-auto-chrono.html
Scuba Auto,H82305131,Khaki Navy,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82305131-khaki-navy-scuba-auto.html
Pilot Day Date Auto,H64615145,Khaki Aviation,Blue,,Men,Stainless steel,Stainless steel,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h64615145-khaki-aviation-pilot-day-date-auto.html
Pilot Day Date Auto,H64615545,Khaki Aviation,Blue,Brown,Men,Stainless steel,Cow leather,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h64615545-khaki-aviation-pilot-day-date-auto.html
Scuba Auto,H82305931,Khaki Navy,Black,Bicolor,Men,Stainless steel,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82305931-khaki-navy-scuba-auto.html
Open Heart Auto,H32735731,Jazzmaster,Black,Black,Men,Stainless steel,Canvas,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32735731-jazzmaster-open-heart-auto.html
Open Heart Auto,H32705551,Jazzmaster,Silver,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32705551-jazzmaster-open-heart-auto.html
Scuba Auto,H82315131,Khaki Navy,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82315131-khaki-navy-scuba-auto.html
Maestro Auto Chrono,H32766143,Jazzmaster,Blue,,Men,Stainless steel,Stainless steel,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32766143-jazzmaster-maestro-auto-chrono.html
Power Reserve Auto,H32635781,Jazzmaster,Grey,Black,Men,Stainless steel,Calf leather,"For the Jazzmaster Power Reserve, Hamilton created the new H-13 movement with extended 80 hour power reserve, which is displayed on the dial through the power reserve indicator. The movement is tastefully decorated and visible through the see-through case back.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32635781-jazzmaster-power-reserve-auto.html
Khaki Scuba Auto 40 mm,H82315331,Khaki Navy,Black,Black,Men,Stainless steel,Rubber,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82315331-khaki-navy-auto.html
Scuba Auto,H82315931,Khaki Navy,Black,Black,Men,Stainless steel,Textile,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82315931-khaki-navy-auto.html
Maestro Auto Chrono,H32576141,Jazzmaster,Blue,,Men,Stainless steel,Stainless steel,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32576141-jazzmaster-auto-chrono.html
Maestro Auto Chrono,H32576641,Jazzmaster,Blue,Blue,Men,Stainless steel,Calf leather,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32576641-jazzmaster-auto-chrono.html
Khaki Pilot Chrono Quartz,H76722531,Khaki Aviation,Black,Brown,Men,Stainless steel,Cow leather,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h76722531-khaki-aviation-khaki-pilot-chrono-quartz.html
Khaki Pilot Chrono Quartz,H76722131,Khaki Aviation,Black,,Men,Stainless steel,Stainless steel,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h76722131-khaki-aviation-khaki-pilot-chrono-quartz.html
Quartz,H24301731,Ventura,Black,Black,,Stainless steel,Cow leather,,,Mineral,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24301731-ventura.html
Quartz,H24101731,Ventura,Black,Black,,Stainless steel,Cow leather,,,Mineral,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24101731-ventura.html
Quartz,H68201043,Khaki Field,Blue,Blue,Men,Stainless steel,,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h68201043-khaki-field-quartz.html
